name,description,value,purchase_price,purchase_date,status,category,location
Soundsystem,Konferenzraum-Audio,1800.00,2000.00,2023-09-05,active,Audio,Konferenzraum A
Mikrofonanlage,Drahtlos-Set,900.00,1000.00,2023-09-01,active,Audio,Konferenzraum B
Tablet Samsung,Galaxy Tab S9,700.00,800.00,2023-08-28,active,Mobile Geräte,Büro 305
E-Book Reader,Kindle Paperwhite,110.00,120.00,2023-08-25,active,Mobile Geräte,Büro 306
Smartwatch,Apple Watch Ultra,750.00,800.00,2023-08-20,active,Mobile Geräte,Büro 307
Drucker-Server,Print Management,450.00,500.00,2023-08-15,active,Netzwerk,Serverraum
Label-Drucker,Brother Professional,280.00,300.00,2023-08-10,active,Hardware,Lager
Barcode-Scanner,Wireless 2D Scanner,180.00,200.00,2023-08-05,active,Hardware,Lager
Präsentations-Clicker,Logitech Spotlight,85.00,100.00,2023-08-01,active,Präsentation,Konferenzraum C
Laminiergerät,Professionell A3,230.00,250.00,2023-07-28,active,Büro,Kopierraum
Bindegerät,Spiralbindung,180.00,200.00,2023-07-25,active,Büro,Kopierraum
Schneidemaschine,Profi-Papierschneider,280.00,300.00,2023-07-20,active,Büro,Kopierraum
Falzmaschine,Automatisch A3,450.00,500.00,2023-07-15,active,Büro,Kopierraum
Briefwaage,Digital bis 20kg,85.00,100.00,2023-07-10,active,Büro,Poststelle
Frankiermaschine,Digital mit Waage,1800.00,2000.00,2023-07-05,active,Büro,Poststelle
Zeitstempeluhr,Digital vernetzt,280.00,300.00,2023-07-01,active,Büro,Poststelle
Schließfächer,20 Fächer mit RFID,1800.00,2000.00,2023-06-28,active,Möbel,Umkleide
Werkbank,Profi-Ausführung,850.00,900.00,2023-06-25,active,Werkzeug,Werkstatt
Kompressor,Silent 50L,450.00,500.00,2023-06-20,active,Werkzeug,Werkstatt
Schweißgerät,Inverter-Schweißgerät,700.00,800.00,2023-06-15,active,Werkzeug,Werkstatt
Akku-Werkzeug-Set,18V Komplett-Set,850.00,900.00,2023-06-10,active,Werkzeug,Werkstatt
Materiallager-System,Automatisiert,4500.00,5000.00,2023-06-05,active,Lager,Lager
Gabelstapler,Elektro 2.5t,18000.00,20000.00,2023-06-01,active,Lager,Lager
Hubwagen,Elektrisch,1800.00,2000.00,2023-05-28,active,Lager,Lager
Packtisch,Höhenverstellbar,450.00,500.00,2023-05-25,active,Lager,Lager
Etikettierer,Mobiles Gerät,280.00,300.00,2023-05-20,active,Lager,Lager
Warenwirtschaft-Terminal,Touch-Display,850.00,900.00,2023-05-15,active,Hardware,Lager
Überwachungskameras,4K Set mit 8 Kameras,2800.00,3000.00,2023-05-10,active,Sicherheit,Gebäude
Bewegungsmelder,Set für alle Etagen,850.00,900.00,2023-05-05,active,Sicherheit,Gebäude
Brandmeldeanlage,Komplettes System,4500.00,5000.00,2023-05-01,active,Sicherheit,Gebäude
